"tecnologia","asimetria_admin_producao_pp","asimetria_admin_projeto_pp","asimetria_projeto_producao_pp","categoria","administracao","cv_administracao","producao","cv_producao","projeto","cv_projeto"
"Manufatura aditiva",-6.8,-8.3,1.5,"Fabricação de produtos farmoquímicos e farmacêuticos",4.9,75.2719192517572,11.7,41.8321934200269,13.2,37.0815063258779
"Manufatura aditiva",-12.9,-24.6,11.7,"Fabricação de artigos de borracha e plástico",3.5,59.8680629992762,16.4,25.4271628957361,28.1,17.7649628242296
"Manufatura aditiva",-5.5,-11.2,5.7,"Fabricação de produtos de minerais não-metálicos",2.1,65.2009633978673,7.6,39.2346876643877,13.3,31.4072624007124
"Manufatura aditiva",-8.3,-12.8,4.5,"Metalurgia",0.9,0,9.2,39.3767408524753,13.7,26.3665543558842
"Manufatura aditiva",-10.1,-10.1,0,"Fabricação de produtos de metal",8.2,39.8069746879812,18.3,25.8872805666877,18.3,24.9532512654791
"Manufatura aditiva",-30.3,-40.6,10.3,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",4.4,63.270994098989,34.7,22.4277355812209,45,18.019088031233
"Manufatura aditiva",-15.1,-37.8,22.7,"Fabricação de máquinas, aparelhos e materiais elétricos",8,44.3411403408995,23.1,21.222283850716,45.8,14.3078415674995
"Manufatura aditiva",-10.8,-26.2,15.4,"Fabricação de máquinas e equipamentos",11.4,33.1667372779354,22.2,20.5030337241628,37.6,14.5132652466788
"Manufatura aditiva",-9.4,-22.6,13.2,"Fabricação de veículos automotores, reboques e carrocerias",7.4,32.4633869041566,16.8,22.7490205008804,30,18.3830785776549
"Manufatura aditiva",-2.6,-31,28.4,"Fabricação de outros equipamentos de transporte",19.3,47.4557796207035,21.9,38.2896574317464,50.3,24.6968178626225
"Manufatura aditiva",-5.7,-8.4,2.7,"Fabricação de móveis",10,42.1840487307464,15.7,30.2874637617561,18.4,27.5337835810883
"Manufatura aditiva",-15.6,-40.3,24.7,"Fabricação de produtos diversos",2.2,25.0117682957311,17.8,34.9839626817615,42.5,18.7354679153601
"Manufatura aditiva",-6.5,-6.8,0.3,"Manutenção, reparação e instalação de máquinas e equipamentos",5.4,0,11.9,40.0353083298309,12.2,39.0941086500216
"Robótica",-16.9,-7.4,-9.5,"Fabricação de produtos alimentícios",5.6,30.9482101496806,22.5,15.2996157538188,13,21.1184928080281
"Robótica",-8.7,-5.6,-3.1,"Fabricação de bebidas",12.9,51.2104511464276,21.6,33.8137292983321,18.5,39.6463433543559
"Robótica",-18.3,0,-18.3,"Fabricação de produtos do fumo",0,NA,18.3,13.5581536136673,0,NA
"Robótica",-6.2,0.2,-6.4,"Fabricação de produtos têxteis",9.2,45.6075469063741,15.4,33.1703528727916,9,46.7543851162594
"Robótica",-12.7,-4.9,-7.8,"Confecção de artigos do vestuário e acessórios",11.4,43.7175865319104,24.1,27.5018364096018,16.3,35.857086588602
"Robótica",-15.4,-11.2,-4.2,"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",6.1,59.648184321266,21.5,26.5805676192284,17.3,30.9711362541023
"Robótica",-9.7,2.1,-11.8,"Fabricação de produtos de madeira",13.1,42.9360645518128,22.8,29.8860497950902,11,43.9304703987789
"Robótica",-13.6,-1.5,-12.1,"Fabricação de celulose, papel e produtos de papel",4.6,59.7748653939887,18.2,26.1342768024256,6.1,30.1108539865165
"Robótica",-11.8,-10,-1.8,"Impressão e reprodução de gravações",1.2,0,13,35.3770351910648,11.2,41.6351142114927
"Robótica",-15.8,-4,-11.8,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",20.8,28.9186200912104,36.6,20.6322383005972,24.8,25.5680283884647
"Robótica",-16.7,-5.4,-11.3,"Fabricação de produtos químicos",8.5,42.1657337842558,25.2,20.3015589522279,13.9,25.6258885724544
"Robótica",-16.3,0.3,-16.6,"Fabricação de produtos farmoquímicos e farmacêuticos",14.9,37.1012245060319,31.2,23.3113630612896,14.6,35.0155967809595
"Robótica",-28.5,-4.6,-23.9,"Fabricação de artigos de borracha e plástico",12.5,30.9319125269364,41,13.8602174553063,17.1,26.3039337514082
"Robótica",-21.6,-2.9,-18.7,"Fabricação de produtos de minerais não-metálicos",5.7,48.3967615142828,27.3,18.6563957070022,8.6,28.3921338820488
"Robótica",-16.8,-1.5,-15.3,"Metalurgia",7.2,51.1980887678867,24,24.8181535242802,8.7,39.7279242876862
"Robótica",-26.2,-13.2,-13,"Fabricação de produtos de metal",7.1,37.4661510928182,33.3,17.9471979574133,20.3,24.1127230212757
"Robótica",-36,-23.6,-12.4,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",0.6,0,36.6,20.1433031873814,24.2,25.7980510369226
"Robótica",-31.9,-19.7,-12.2,"Fabricação de máquinas, aparelhos e materiais elétricos",5.9,16.8732162249413,37.8,16.5026085307539,25.6,22.4029582673591
"Robótica",-23.9,-14.9,-9,"Fabricação de máquinas e equipamentos",13,30.2590483343707,36.9,14.4498991951652,27.9,17.939458341536
"Robótica",-29.6,-18,-11.6,"Fabricação de veículos automotores, reboques e carrocerias",18.8,24.3483572018228,48.4,12.6904259760856,36.8,16.1772080262393
"Robótica",-37.6,-25.9,-11.7,"Fabricação de outros equipamentos de transporte",5,55.4382732502846,42.6,29.7360767006859,30.9,34.7227876316279
"Robótica",-28.6,-12.4,-16.2,"Fabricação de móveis",8.7,41.1040210359896,37.3,17.939692141914,21.1,25.6189136766878
"Robótica",-23.3,-10.7,-12.6,"Fabricação de produtos diversos",4,51.9032796707323,27.3,22.9832651288285,14.7,35.0939127986035
"Robótica",-7.2,-5.5,-1.7,"Manutenção, reparação e instalação de máquinas e equipamentos",2.3,0,9.5,48.9440663029404,7.8,57.5475190684783
