"tecnologia","categoria","asimetria_pp","par"
"IA","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",3.6,"admin_projeto"
"IA","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",7.9,"projeto_producao"
"IA","Fabricação de produtos de madeira",12.8,"admin_producao"
"IA","Fabricação de produtos de madeira",4.8,"admin_projeto"
"IA","Fabricação de produtos de madeira",8,"projeto_producao"
"IA","Fabricação de celulose, papel e produtos de papel",8.4,"admin_producao"
"IA","Fabricação de celulose, papel e produtos de papel",10.8,"admin_projeto"
"IA","Fabricação de celulose, papel e produtos de papel",-2.4,"projeto_producao"
"IA","Impressão e reprodução de gravações",-7,"admin_producao"
"IA","Impressão e reprodução de gravações",-4.4,"admin_projeto"
"IA","Impressão e reprodução de gravações",-2.6,"projeto_producao"
"IA","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",9,"admin_producao"
"IA","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",5.8,"admin_projeto"
"IA","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",3.2,"projeto_producao"
"IA","Fabricação de produtos químicos",21,"admin_producao"
"IA","Fabricação de produtos químicos",5.7,"admin_projeto"
"IA","Fabricação de produtos químicos",15.3,"projeto_producao"
"IA","Fabricação de produtos farmoquímicos e farmacêuticos",20.1,"admin_producao"
"IA","Fabricação de produtos farmoquímicos e farmacêuticos",12.9,"admin_projeto"
"IA","Fabricação de produtos farmoquímicos e farmacêuticos",7.2,"projeto_producao"
"IA","Fabricação de artigos de borracha e plástico",16.2,"admin_producao"
"IA","Fabricação de artigos de borracha e plástico",10.1,"admin_projeto"
"IA","Fabricação de artigos de borracha e plástico",6.1,"projeto_producao"
"IA","Fabricação de produtos de minerais não-metálicos",18.7,"admin_producao"
"IA","Fabricação de produtos de minerais não-metálicos",12.5,"admin_projeto"
"IA","Fabricação de produtos de minerais não-metálicos",6.2,"projeto_producao"
"IA","Metalurgia",4.1,"admin_producao"
"IA","Metalurgia",0.7,"admin_projeto"
"IA","Metalurgia",3.4,"projeto_producao"
"IA","Fabricação de produtos de metal",13.7,"admin_producao"
"IA","Fabricação de produtos de metal",15.8,"admin_projeto"
